Scenario;Country;BVD_level;PTB_level;SAL_level;BDV_inc;PTB_inc;SAL_inc;NetReturn_PrCowYr;ReplacementRate;CowMortRate;CullRate;N_BoughtHeif;Income_Milk;Income_Slaughter;Income_HeifSale;Income_CalfSale;Income_StatusHeif;Income_StatusCow;Income_Total;Cost_FeedCows;Cost_FeedYoungstock;Cost_BoughtHeif;Cost_TreatmentsCows;Cost_Insem;Cost_OtherCow;Cost_OtherHeif;Cost_Total;MilkFever_inc;Dystocia_inc;RetPlacenta_inc;Metritis_inc;DisplAbomasum_inc;Ketosis_inc;Mastitis_inc
73;DK;mean_p0;p1_mid;mean_p0;0;20.8892956250547;0;29478.993012867;40.0269547935292;5.39374744306575;34.6332073504634;0.056;938732.714661629;54084.0689424176;9939.07692307692;15520.5913846154;53.4953846153828;-6.64087912087908;1018323.30641723;267801.781223077;61002.4448892308;51.6923076923077;13773.2784615385;9364.32;24105.3939349112;76007.0824775148;452105.993293964;11.0742264730491;1.47379081446366;8.4037983924348;6.81947426733492;2.75693599972958;6.33248406282782;28.1556646756899
74;DK;mean_p0;p1_mid;p1_low;0;20.8869342212929;5.20250457890014;29265.5167790891;40.8326148232799;5.41882429369283;35.4137905295871;0.08;933952.416773711;55190.9012008791;7164.92307692308;15518.2929230769;65.1658461538455;3.98452747252738;1011895.68434822;266827.870779231;60376.0240861538;73.8461538461538;14034.8556923077;9233.94461538461;24100.7600887574;75239.1762901775;449886.477705858;10.7527097487608;1.44363115999082;8.26597996660141;6.82719769924709;2.67735979102885;6.21992428569563;28.0713673617915
75;DK;mean_p0;p1_mid;p1_mid;0;19.5555299356232;19.1388907108157;28704.4956616743;39.0366134892731;5.52549867809614;33.511114811177;0.192;916083.170642491;52501.0730654945;4198.15384615385;14570.8670769231;-650.92430769231;-1.32817582417602;986701.012147546;262905.585812308;55972.2337907692;177.230769230769;14344.5944615385;8377.2;24096.6980473373;69685.0132457396;435558.556126923;9.89396420217248;1.35253908181998;7.66163801475416;6.39725562509339;2.53997674778364;5.86358871152213;26.4126962272144
76;DK;mean_p0;p1_mid;p1_high;0;16.1258948676723;39.8388640356292;25925.2516554269;36.445108065467;5.37918834435501;31.065919721112;12.948;830387.315983558;49304.6709186813;3380;11962.1132307692;-1068.88123076923;-106.254065934066;893858.964836305;244549.727196923;44403.2478769231;11952;13295.4513846154;6405.72923076923;23920.1440532544;55193.1612209467;399719.460963432;6.855875584826;1.15107651562409;6.08115878791588;5.26604289098657;1.98233175676772;4.39569218089123;21.8783114854024
77;DK;mean_p0;p1_high;mean_p0;0;48.2306301003879;0;28628.0761750141;38.6077817870488;5.94509094383843;32.6626908432104;0.336;912678.925053768;51485.9285925275;4100;14194.3790769231;-1094.90338461539;6.64087912087903;981370.970217724;262172.064565385;54756.5309846154;310.153846153846;14224.7006153846;8069.48307692308;24091.2993195266;68194.758456213;431818.990864201;9.42972945470038;1.34000878822933;7.37162162516183;6.14542162638936;2.47804698809293;5.52672497405615;27.3771458723965
78;DK;mean_p0;p1_high;p1_low;0;45.893344706718;4.49070919814978;28154.8080967699;37.1348826793676;5.8636119636065;31.2712707157611;1.04;897052.835404531;49593.5135718681;3976.92307692308;13447.8387692308;-1321.49507692308;-21.250813186813;962728.364932443;258795.076956923;52234.2439723077;960;13894.7064615385;7587.96923076923;24076.9819230769;65032.8316615385;422581.810206154;8.71841650274745;1.31674607514562;7.02955749004985;5.87477278722244;2.34960565466973;5.22843919321335;26.3250904559636
79;DK;mean_p0;p1_high;p1_mid;0;41.4969220523962;16.1085280387208;26485.1271047669;36.735490634402;5.63249160944445;31.1029990249575;9.868;846421.781106068;49408.8724518681;3564.61538461538;12165.2972307692;-1644.53569230769;-110.238593406593;909805.791887607;247923.252747692;46213.4541292308;9108.92307692308;13046.0963076923;6542.25230769231;23954.8830473373;57470.295113787;404259.156730355;7.13447448531508;1.15582178984945;6.08018360992968;5.29215853000241;2.00529178871082;4.40713370867886;23.056023602457
80;DK;mean_p0;p1_high;p1_high;0;39.452242147052;38.1649099178476;24668.8200643431;40.9824966882042;5.69170345889443;35.2907932293098;30.472;798108.879530102;55535.9748061538;3040;11395.7723076923;199.289538461539;-3.98452747252747;868275.931654937;237549.008111538;41159.5190769231;28128;13252.1843076923;5551.80923076923;23786.5496745562;51289.528932426;400716.599333905;5.02283807302305;1.23541994955963;5.44657672455188;5.11539509028561;1.76302538630228;3.52283369134697;19.6660747370814
81;DK;p1_low;mean_p0;mean_p0;5.09678383592208;0;0;30046.0537451534;36.4202485768754;4.95272329509806;31.4675252817774;0.028;947216.458892059;49377.6424210989;16635.6923076923;15180.4190769231;163.700923076922;-7.96905494505521;1028565.94456591;269380.065807692;60068.60516;25.8461538461538;13083.3393846154;9523.93846153846;24123.3723668639;74821.2526421893;451026.419976746;11.9655886138883;1.36063142656372;8.34948893406796;6.55664442623557;2.78210156840046;6.59185995199348;28.1827660391989
82;DK;p1_low;mean_p0;p1_low;5.1192438478737;0;5.04879452760976;29779.1854026982;37.8107151976105;5.00878974330387;32.8019254543066;0.068;942396.480725735;51331.8295156044;13428.9230769231;15310.0523076923;47.1615384615373;-10.6254065934065;1022503.82175782;268468.556870769;60023.3653169231;62.7692307692308;13372.8692307692;9466.28307692308;24115.5824556213;74769.6417933728;450279.067975148;11.6027506198986;1.37709013381019;8.42583865123254;6.66605077110076;2.74937177954604;6.49470795354027;27.9035940000098
83;DK;p1_low;mean_p0;p1_mid;5.10433883427262;0;20.1033446965697;29131.6103592066;40.0137550186117;5.11236182320617;34.9013931954056;0.052;928810.058001672;54369.1508448352;5964.61538461538;15259.4861538462;-113.085846153846;11.9535824175823;1004302.17812123;265662.368626154;58680.8869938462;48;14143.5344615385;9118.41230769231;24102.7651183432;73062.2600499408;444818.227557515;10.7053290391158;1.41786907487984;8.19642049406592;6.69682859991184;2.68995785562656;6.12488991995029;26.9075192849027
84;DK;p1_low;mean_p0;p1_high;4.27293626836911;0;41.9838423268346;27125.5390352546;35.0568535924265;5.1999008321338;29.8569527602926;3.692;864436.683666567;47465.1579745055;3560;12723.3636923077;-1670.17569230769;-83.6750769230771;926431.354564149;251872.254456923;47539.0123784615;3408;13811.0455384615;7133.64923076923;24038.5373372781;59053.7204728402;406856.219414734;8.29021768901635;1.2047393418144;6.60354090612315;5.54991814166924;2.26177441765407;4.93943768368333;23.2324108231298
85;DK;p1_low;p1_low;mean_p0;5.16060323678441;5.17180470520685;0;29837.648733867;37.964854499209;5.01009906168366;32.9547554375253;0.064;944281.403958068;51545.6243235165;14104.9230769231;15281.5513846154;197.609538461538;-9.29723076923035;1025401.81505082;268853.949685385;60620.0350061538;59.0769230769231;13331.7987692308;9509.59384615385;24116.8448816568;75532.1045607692;452023.403672426;11.6133522022537;1.3882214067649;8.51507923079247;6.69132103691478;2.77643775270232;6.60007387844218;28.1279385769265
86;DK;p1_low;p1_low;p1_low;5.14639872104496;5.14801580944032;5.14160997959472;29581.8331043483;39.2035689844096;5.0423205894694;34.1612483949402;0.088;939596.193659014;53324.4510558242;11055.0769230769;15337.1741538462;404.793538461539;-3.98452747252717;1019713.70480275;267913.849036154;60710.8163723077;81.2307692307692;13513.9966153846;9455.87076923077;24108.3346449704;75667.5576287574;451451.655836035;11.2394447745749;1.35347650564215;8.42516431362742;6.71611341913962;2.68772224570203;6.46304762689191;27.6813362184655
87;DK;p1_low;p1_low;p1_mid;5.06650820135837;5.04408347208088;19.9343695858654;28995.631123918;40.1051507959772;5.24597253184287;34.8591782641343;0.084;925346.485872191;54386.5313002198;4896.92307692308;15060.8990769231;-307.373230769231;-6.64087912087913;999376.825216367;264911.412973846;58066.6214061538;77.5384615384615;14227.3649230769;8910.11076923077;24099.8021301775;72279.6498527219;442572.500516746;10.4358628933401;1.35074765972863;7.96188999438038;6.60311109761461;2.57491303020418;6.10320540674608;26.9092376965327
88;DK;p1_low;p1_low;p1_high;4.17691017488133;4.22361062911366;40.9230749880257;26718.0692411085;35.262276012537;5.214797539273;30.047478473264;6.24;852680.916394836;47742.8231331868;3526.15384615385;12422.7249230769;-1518.59107692308;-94.3004835164833;914759.726736814;249330.585233077;46481.1289323077;5760;13599.9667692308;6899.42769230769;23999.394704142;57751.1168570414;403821.620188106;7.81464121359402;1.17295205679261;6.42132864343035;5.45612005753166;2.14157530880428;4.69975426484206;22.8088890754856
89;DK;p1_low;p1_mid;mean_p0;5.16737409289623;20.7607760938877;0;29373.0468458361;40.7885978626843;5.45098510571421;35.3376127569701;0.072;936095.619115873;55111.7000175824;6768.30769230769;15451.6375384615;13.9953846153836;-3.98452747252758;1013437.27522137;267217.449666923;60068.29636;66.4615384615385;13829.9929230769;9230.23384615385;24100.2402662722;74863.2640989941;449375.938699882;10.6952444082048;1.44205730703304;8.23253882277131;6.67030007946532;2.69183416266401;6.18159003546892;28.0511925330589
90;DK;p1_low;p1_mid;p1_low;5.05896752563695;20.5162696476113;5.06376157621983;29184.7063798467;40.8971795384328;5.42431787768323;35.4728616607495;0.144;931383.297171387;55283.6218408791;5264.61538461538;15298.56;-274.919692307694;1.32817582417571;1006956.5028804;266188.076196923;59233.7070061538;132.923076923077;14086.1923076923;9035.66769230769;24097.6411538462;73797.7089988757;446571.916432722;10.5922523518877;1.41176505197846;8.11805745432536;6.69823769034923;2.63443683459541;6.05084670050452;27.6407498993399
91;DK;p1_low;p1_mid;p1_mid;4.5620163415653;18.4868797480781;18.1374610249512;28429.8151771954;37.3384875656296;5.36351119713722;31.9749763684923;0.476;904194.837651089;50406.5045556044;4006.15384615385;13759.9698461538;-1260.58892307693;-3.98452747252725;971102.892448452;260256.15207;52995.2697384615;439.384615384615;13791.7258461538;7880.23384615385;24090.0294674556;65932.6899621302;425385.48554574;9.13684647118655;1.2583110726969;7.18283369580949;5.96463294724355;2.42849885348054;5.32340951559341;25.5318954106654
92;DK;p1_low;p1_mid;p1_high;3.94629349690031;16.0117208610957;39.3159956975125;25668.5833318173;37.5257914684354;5.30165921968113;32.2241322487543;17.384;822685.734994636;50936.0511279121;3258.46153846154;11798.9224615385;-701.509538461539;-53.1270329670328;887924.53355112;242810.891626154;43469.0808830769;16046.7692307692;13088.1233846154;6247.21846153846;23875.8254733728;54052.6405159172;399590.549575444;6.39003844572227;1.151565784043;5.9485529678857;5.13834237529906;1.96990253647309;4.10475569122868;21.0318555774264
93;DK;p1_low;p1_high;mean_p0;4.46095690009036;45.5001123306299;0;28159.633088003;37.0337118189629;5.70580952959565;31.3279022893673;1.284;895978.154136785;49637.7154479121;3935.38461538462;13331.0769230769;-1382.49476923077;-31.8762197802197;961467.960134148;258524.861199231;51864.4758923077;1185.23076923077;13564.2430769231;7558.83692307692;24072.8678994083;64549.790255503;421320.30601568;8.5129489736535;1.23996964297252;6.93123536588487;5.74101739269229;2.37405674488486;5.16519367780011;25.9960106489959
